matched_concept_id,concept_name,n_rows,n_items_nov,items_nov_mean,items_nov_std,items_nov_median,items_nov_composite
c97355855,Thermodynamics,3375923,1829886,-0.2685275600831762,1.789804824460736,0.07373787830838645,0.08943340480897105
c140793950,Animal Science,672793,321051,0.08185129103266349,1.7154023447766802,0.462539833821818,0.42493175998799954
c105795698,Statistics,5007056,2136920,-0.4648107705575081,2.03695724839098,-0.14849345025554034,-0.057419320879312064
c78458016,Evolutionary Biology,1049456,469867,-0.25535165604110593,1.9183262596327337,0.26711478906207925,0.12831359588544083
c117671659,Manufacturing Engineering,278875,57767,-0.49505736176780535,2.1810514813121147,-0.362739209604967,-0.05884706550538238
c131872663,Obstetrics,524866,226365,0.18190874870033152,1.1857550094381266,0.302715111859595,0.41905975058795686
c120314980,Distributed Computing,678477,216423,-1.5524121384262932,2.157567944837339,-1.62142628186396,-1.1208985494588255
c1965285,Earth Science,147195,44149,0.10724235695678788,1.6398181184072695,0.3721870382301914,0.4352059806382418
c159047783,Virology,1373001,686899,0.7456516788079788,1.1014138970717218,0.8147307393226806,0.9659344582223232
c178802073,Aeronautics,338209,39585,-0.5769599950958393,2.381294135260485,-0.207120239687497,-0.10070116804374224
c16685009,Andrology,290474,142309,0.8047199538523969,1.2502227285921665,1.042819175943717,1.0547644995708303
c60644358,Bioinformatics,478006,283967,1.0737594056178568,0.9854443934847631,1.14994890434067,1.2708482843148095
c98274493,Pharmacology,1660421,845678,1.1553499857984222,0.9487962936234731,1.2034279925900457,1.3451092445231168
c112930515,Risk Analysis (Engineering),580606,164545,0.1391545559217596,1.9424320616861364,0.371706264886252,0.5276409682589869
c90924648,Gastroenterology,1206753,545424,0.5077298425363316,0.9802606245577483,0.603601343059111,0.7037819674478812
c187320778,Geotechnical Engineering,1618411,667722,-0.3700835520691284,1.9098532678480884,0.01185687496478048,0.011887101500489272
c41999313,Molecular Physics,136402,106875,0.2718538553097909,1.0393376247465678,0.40757526675679107,0.4797213802591045
c107872376,Environmental Chemistry,874210,525446,0.7049127444706135,1.2399986059562476,0.8336639264374601,0.952912465661863
c16005928,Dermatology,604388,255788,0.1630581456374531,1.5478423646899837,0.4551505608566264,0.47262661857544985
c44870925,Astrophysics,762685,344562,-1.0814641996563727,1.87134758804139,-0.6948055844293446,-0.7071946820480948
c159467904,Chemical Physics,395369,299486,0.732635544445662,0.8888778171549433,0.7254242713299336,0.9104111078766507
c100970517,Physical Geography,350096,152004,0.19599435873210447,1.2923070025364927,0.4361254817488479,0.454455759239403
c177322064,Radiochemistry,118191,60113,0.1933940347421281,2.0528343547465417,0.6410664609988976,0.6039609056914365
c200601418,Reliability Engineering,502409,151189,-0.919980332562451,2.2078655547493584,-0.698707272826259,-0.4784072216125793
c165205528,Seismology,578874,218408,-0.8640890450928005,1.9300521053384863,-0.43184063370635833,-0.4780786240251032
c512399662,Family Medicine,1321369,593146,0.15524203047602841,1.3052773343104098,0.27087453714063103,0.4162974973381104
c77595967,Forensic Engineering,376568,62747,-0.808610278232533,2.3672349549846072,-0.42306924538870694,-0.3351632872356115
c179104552,Inorganic Chemistry,1099742,794211,0.4944490024555821,1.1166671681307476,0.542028526364828,0.7177824360817316
c191897082,Metallurgy,3343668,1848785,-0.0856478037835049,1.6012072583397228,0.20250255942346787,0.2345936478844397
c21547014,Operations Management,932210,250810,-0.7611453071938952,2.163690797657146,-0.5805084800464011,-0.3284071476624659
c18903297,Ecology,5998522,2906091,0.19513092169544638,1.6288729317665225,0.4859093448325687,0.5209055080487509
c21951064,Combinatorial Chemistry,635378,406867,0.6505757150110049,1.2766680069542946,0.746740081866004,0.9059093164018638
c201995342,Systems Engineering,750199,200951,-0.5049797421372998,2.1893749031850303,-0.267962949169693,-0.06710476150029371
c6557445,Agronomy,1725076,729494,-0.09430299746526437,1.7339816519862468,0.3176798630684937,0.252493332931985
c28826006,Applied Mathematics,990144,496794,-1.371935689598583,2.082700417460315,-1.46431486093912,-0.95539560610652
c170154142,Architectural Engineering,422356,92730,-0.5569210959262204,2.195820033630281,-0.314426981956815,-0.11775708920016414
c183696295,Biochemical Engineering,164956,75550,0.9915186477644398,1.3584885083318703,1.1320418937077403,1.263216349430814
c187212893,Pediatrics,1161009,566476,0.3496198473579202,1.046291424465801,0.408139621280655,0.5588781322510804
c75473681,Photochemistry,478169,384779,0.6977613961887376,0.9667305760487284,0.6623013828471128,0.8911075113984832
c159390177,Soil Science,590315,303565,-0.0322028855067404,1.6634192105040126,0.33772781442413374,0.30048095659406215
c126322002,Internal Medicine,12850630,6189179,0.5116837651162742,1.2107115550752086,0.67569233221008,0.7538260761313159
c8058405,Geophysics,289016,127958,-0.5750450167273573,1.7805364695199934,-0.17935124703949842,-0.2189377228233586
c19527891,Medical Physics,274770,97939,-0.01897171244077476,1.8205715527942667,0.261145497131287,0.34514259811807857
c2989005,Nuclear Medicine,548475,284068,-0.008467939162034345,1.612083405439835,0.21953070657889084,0.31394874192593264
c61696701,Engineering Physics,267703,85273,-0.0336282624023085,1.636113393944314,0.32975288983786116,0.2935944163865543
c107053488,Construction Engineering,136394,22191,-0.7188389699658315,2.306357603815793,-0.40068084919011054,-0.2575674492026729
c87355193,Astrobiology,466178,122189,0.1591172208725671,1.6011278727856144,0.31053923397407374,0.47934279542969005
c1276947,Astronomy,1556938,607609,-0.6929536767472739,1.9709505622817884,-0.272864654949255,-0.2987635642909162
c55493867,Biochemistry,8396201,4902124,0.751681377077248,1.3915132470061782,0.9459965435446847,1.0299840264784836
c136229726,Biomedical Engineering,441989,262782,1.2413745938303316,1.5172421972767722,1.471493293500017,1.544823033285686
c118552586,Psychiatry,3019448,1566677,0.3635116589534927,1.2982968704562448,0.48759765193208215,0.6231710330447416
c126838900,Radiology,2068342,973529,-0.0022851281408527626,1.5261453114812822,0.14439932326813892,0.3029439341554037
c2524010,Geometry,4731740,1854873,-1.0124232952496561,2.160047602580705,-0.7834696832977692,-0.5804137747335152
c74909509,Gerontology,875768,400074,0.41896969044459426,1.1367011241649643,0.4840367372992631,0.6463099152775871
c29456083,Gynecology,506155,191876,0.14209933661030663,1.221685211278048,0.2943474032176164,0.38643637886591625
c556039675,Traditional Medicine,692085,239604,1.004631226434361,1.2763114256260064,1.203877733472087,1.2598935115595624
c11413529,Algorithm,3829238,1388073,-0.9699505761320526,2.2131668402421227,-0.860544370607318,-0.527317208083628
c78762247,Petroleum Engineering,375590,94426,-0.12782130843907172,2.073122909452367,0.26142991146604955,0.28680327345140166
c99508421,Physical Medicine And Rehabilitation,733233,312770,0.2861091053028673,1.4008692020842093,0.4942096448170308,0.5662829457197092
c3079626,Quantum Electrodynamics,127270,73648,-1.0631112743653564,1.4677437705356424,-1.053446579853989,-0.7695625202582279
c177713679,Intensive Care Medicine,1131089,439083,0.3056950699079297,1.136422095966078,0.367653135314246,0.5329794891011453
c545542383,Medical Emergency,597858,235944,0.028060899240623507,1.4002015616242627,0.10441372299936795,0.30810121156547604
c153294291,Meteorology,2081044,822036,-0.18182320991584305,1.82416550782786,0.17672204776495942,0.18300989164972897
c42475967,Operations Research,618717,217011,-0.47467543101261117,2.0554838364848926,-0.3099649651373614,-0.06357866371563264
